Indicator Name,Indicator Code,Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Population, female",SP.POP.TOTL.FE.IN,Nigeria,NGA,63095927,64790613,66543143,68354109,70225593,72156231,74144466,76197054,78316557,80497321,82748161,85069157,87430382,89806513,92182379,94518735,96848902,99196111,101480187,103695842,105897424,108111257,110366192,112676013,115005707
"Population, female",SP.POP.TOTL.FE.IN,Nicaragua,NIC,2556681,2590128,2622060,2653489,2685352,2720776,2759751,2799352,2839398,2879778,2920563,2961712,3003180,3044801,3086390,3128020,3169776,3211621,3253688,3295694,3337270,3378214,3421642,3468026,3514183
"Population, female",SP.POP.TOTL.FE.IN,Netherlands,NLD,8063018,8120703,8170465,8209680,8240727,8262888,8277687,8295948,8325911,8364852,8406115,8443871,8473616,8497136,8524757,8558068,8596978,8642657,8689741,8742188,8786981,8830353,8911982,8997851,9054760
"Population, female",SP.POP.TOTL.FE.IN,Norway,NOR,2266754,2277141,2289125,2302271,2315355,2330270,2346792,2366421,2390873,2417866,2445506,2473269,2501224,2528278,2554241,2577299,2598195,2618168,2635137,2652072,2666588,2680009,2705700,2738457,2764076
"Population, female",SP.POP.TOTL.FE.IN,Nepal,NPL,12185495,12405322,12619850,12827343,13022746,13204542,13371629,13525740,13670563,13806900,13936198,14043660,14128275,14206812,14294003,14403618,14505809,14581601,14660531,14813382,15024010,15234961,15370175,15415381,15450778
"Population, female",SP.POP.TOTL.FE.IN,Nauru,NRU,4904,4890,4870,4864,4872,4880,4883,4886,4890,4900,4915,4936,5014,5137,5249,5351,5447,5532,5603,5660,5703,5745,5791,5827,5864
"Population, female",SP.POP.TOTL.FE.IN,New Zealand,NZL,1963950,1977014,2012009,2052299,2083952,2109061,2136388,2157509,2176421,2198405,2223259,2240700,2253155,2268561,2300564,2339847,2386056,2431027,2470956,2508252,2563368,2573836,2576042,2639641,2686016
"Population, female",SP.POP.TOTL.FE.IN,Oman,OMN,951301,967665,983539,999041,1017347,1038539,1059782,1081241,1103174,1125939,1151336,1207861,1286652,1353467,1414512,1474119,1528405,1574349,1619100,1668759,1713756,1749460,1818526,1914778,1995709
"Population, female",SP.POP.TOTL.FE.IN,Pakistan,PAK,74915308,77047538,79032155,80988807,83048042,85106299,87212749,89618072,92123038,94570103,97004730,99266456,101238739,102956663,104568523,106099595,107541715,109126592,110970023,112921196,115047726,117358452,119632267,121773246,123835758
"Population, female",SP.POP.TOTL.FE.IN,Panama,PAN,1497245,1527044,1557150,1587576,1618451,1649618,1680891,1712445,1744401,1776711,1809258,1842205,1875508,1908870,1942521,1976666,2011297,2046191,2080896,2114557,2144479,2171401,2199575,2228887,2257573
"Population, female",SP.POP.TOTL.FE.IN,Peru,PER,13285707,13465601,13624024,13766969,13900209,14022214,14131003,14230899,14329716,14431219,14537705,14657126,14789402,14931654,15087792,15263951,15470938,15702729,15993822,16274450,16482005,16657801,16823640,17010174,17200284
"Population, female",SP.POP.TOTL.FE.IN,Philippines,PHL,39617859,40490405,41327368,42162747,42998916,43816634,44591090,45398890,46229387,47090207,48044635,48977035,49910854,50832021,51672020,52476447,53242092,53999406,54754964,55506906,56175775,56681259,57115091,57580382,58059563
"Population, female",SP.POP.TOTL.FE.IN,Palau,PLW,8714,8813,8914,9020,9134,9172,9097,8986,8870,8750,8624,8499,8379,8311,8289,8269,8255,8240,8216,8184,8176,8182,8180,8172,8165
"Population, female",SP.POP.TOTL.FE.IN,Papua New Guinea,PNG,2652966,2746298,2840519,2936890,3035227,3135405,3237497,3341445,3447416,3555377,3665305,3775200,3883972,3992858,4101905,4210900,4319593,4427838,4535715,4643189,4747803,4848513,4946016,5041654,5137279
"Population, female",SP.POP.TOTL.FE.IN,Poland,POL,19715929,19716651,19714178,19707720,19704390,19705143,19704948,19708889,19722079,19782008,19709311,19638978,19615919,19601840,19584440,19568360,19556897,19555973,19552068,19543226,19314870,19050967,18975738,18908458,18844270
"Population, female",SP.POP.TOTL.FE.IN,"Korea, Dem. People's Rep.",PRK,12116863,12190080,12253287,12326054,12408584,12480002,12544940,12606329,12664539,12718436,12767723,12815947,12864205,12913109,12962725,13012623,13062288,13111606,13159959,13206827,13250754,13289964,13326404,13360198,13390106
"Population, female",SP.POP.TOTL.FE.IN,Portugal,PRT,5324036,5359229,5390986,5416490,5433622,5447658,5461620,5477093,5491630,5504912,5515346,5514330,5499561,5478858,5458055,5440729,5425240,5412982,5406817,5406231,5405235,5430708,5463636,5539155,5604063
"Population, female",SP.POP.TOTL.FE.IN,Paraguay,PRY,2524782,2567680,2604048,2636515,2667666,2697992,2726958,2754615,2782327,2811818,2845800,2884666,2926395,2969722,3014110,3059517,3105356,3151077,3196439,3241278,3286865,3329042,3368932,3411748,3455037
"Population, female",SP.POP.TOTL.FE.IN,West Bank and Gaza,PSE,1445514,1484780,1526203,1569055,1612954,1657430,1702468,1748297,1798708,1849119,1899516,1949736,2000122,2050376,2100875,2151143,2201027,2245037,2301306,2358603,2416909,2476124,2535941,2598445,2663386
"Population, female",SP.POP.TOTL.FE.IN,French Polynesia,PYF,117682,119737,121723,123716,125719,127645,129508,131149,132226,132932,133638,134368,135197,136164,137139,138026,138833,139276,138650,137688,137680,138084,138442,138862,139277
"Population, female",SP.POP.TOTL.FE.IN,Qatar,QAT,204460,213963,223571,233206,246772,261429,277266,304335,339868,385173,396780,408440,442987,496542,545928,579666,609853,637482,663074,704807,779300,705826,748117,756537,820750
"Population, female",SP.POP.TOTL.FE.IN,Romania,ROU,11662531,11513407,11309347,11222404,11150195,11072935,10999533,10831304,10646783,10554494,10488663,10432885,10381175,10336859,10292083,10237760,10174312,10111684,10047974,9990504,9931477,9858388,9822455,9827799,9833348
"Population, female",SP.POP.TOTL.FE.IN,Russian Federation,RUS,78056192,77823540,77571695,77323220,77126164,76950535,76795674,76718025,76712186,76746264,76773041,76839670,76997955,77188611,77389058,77580765,77749859,77862890,77890854,77910513,77792851,77505719,77230340,77040679,76925937
"Population, female",SP.POP.TOTL.FE.IN,Rwanda,RWA,4291977,4338981,4404326,4498483,4609011,4724005,4843074,4965528,5090049,5215568,5341376,5466485,5592023,5722427,5857759,5995302,6134976,6276692,6420052,6564443,6709518,6854356,7001645,7152063,7301809
"Population, female",SP.POP.TOTL.FE.IN,Saudi Arabia,SAU,7335077,7564525,7796444,8031059,8268670,8509778,8755035,9005052,9260118,9520132,9326344,9663169,9985076,10449174,10621095,11100100,11509675,11662022,11586701,11674265,12340509,12087819,12633809,13260611,13931115
"Population, female",SP.POP.TOTL.FE.IN,Sudan,SDN,13906211,14262551,14626525,14971822,15317990,15687995,16066562,16462017,16899559,17377565,17804772,18173011,18569902,19008467,19535118,20143156,20768693,21503504,22269141,22935758,23565489,24214787,24882915,25221195,25436214
"Population, female",SP.POP.TOTL.FE.IN,Senegal,SEN,5044475,5172105,5300480,5426549,5552550,5680903,5811582,5945105,6082862,6225853,6373840,6534551,6709361,6900933,7104579,7306534,7506672,7704849,7901276,8096322,8290197,8482181,8674926,8879764,9096833
"Population, female",SP.POP.TOTL.FE.IN,Singapore,SGP,1960541,2019567,2047988,2029905,2061198,2107023,2160961,2227877,2324434,2387433,2434714,2488730,2544341,2576015,2606509,2642505,2689295,2711014,2731845,2754201,2742212,2634886,2723972,2858818,2917785
"Population, female",SP.POP.TOTL.FE.IN,Solomon Islands,SLB,212508,217039,221507,225948,230376,234808,239258,243722,248210,253031,260411,270194,280293,290706,301412,312372,323543,334859,346227,355507,363576,372519,381613,390932,400351
"Population, female",SP.POP.TOTL.FE.IN,Sierra Leone,SLE,2241158,2376213,2515856,2618496,2706740,2778678,2838815,2900098,2971772,3051287,3133887,3215127,3295955,3376336,3456326,3535743,3618365,3704193,3790821,3878671,3968363,4058933,4149726,4241460,4332051
"Population, female",SP.POP.TOTL.FE.IN,El Salvador,SLV,3076098,3093394,3107671,3118802,3127168,3133115,3137142,3144321,3155104,3165443,3176102,3187623,3200117,3213351,3226552,3238313,3248575,3256809,3261667,3264290,3271804,3283657,3296919,3312439,3327460
"Population, female",SP.POP.TOTL.FE.IN,San Marino,SMR,13846,14034,14225,14416,15261,15466,15656,16195,16433,17169,17268,16878,17267,17029,16826,16950,17059,17427,17772,17836,17887,17567,17210,17213,17270
"Population, female",SP.POP.TOTL.FE.IN,Somalia,SOM,4425819,4603866,4777762,4955468,5139659,5319513,5483451,5655511,5824400,5971959,6121190,6165016,6221375,6424650,6658561,6891390,7161482,7444907,7712226,8000369,8309044,8617767,8882342,9160786,9486361
"Population, female",SP.POP.TOTL.FE.IN,Serbia,SRB,3949518,3947829,3948345,3936887,3925655,3911861,3894446,3876506,3857699,3839789,3821879,3790599,3771281,3753454,3735593,3716749,3697361,3677427,3656731,3636492,3612250,3578623,3493763,3477760,3462080
"Population, female",SP.POP.TOTL.FE.IN,South Sudan,SSD,3099802,3235566,3377376,3527676,3689361,3864653,4054776,4258011,4469695,4680103,4928878,5197884,5430126,5633487,5670322,5613457,5483257,5207244,5144748,5296090,5434671,5519926,5599435,5834585,6069044
"Population, female",SP.POP.TOTL.FE.IN,Sao Tome and Principe,STP,72433,73638,75422,77349,79280,81233,83220,85240,87276,89296,91267,93171,95039,96880,98683,100444,102149,103800,105427,107058,109133,111464,113700,116054,118458
"Population, female",SP.POP.TOTL.FE.IN,Suriname,SUR,235548,240038,244566,249031,252666,255576,258626,261841,265156,268513,271888,275264,278655,282053,285428,288749,292071,295365,298574,301924,305402,308474,311399,314537,317505
"Population, female",SP.POP.TOTL.FE.IN,Slovak Republic,SVK,2770722,2766125,2764892,2762896,2761913,2761613,2761210,2761455,2763244,2765994,2767519,2770102,2773708,2775796,2777754,2779328,2781615,2784791,2787575,2790509,2792564,2786819,2779322,2777110,2775008
"Population, female",SP.POP.TOTL.FE.IN,Slovenia,SVN,1017180,1018167,1019190,1019495,1019999,1021111,1022564,1024184,1022713,1030478,1034057,1036939,1038993,1039719,1040109,1040389,1040428,1039905,1040686,1043169,1047544,1050160,1051860,1055684,1057932
"Population, female",SP.POP.TOTL.FE.IN,Sweden,SWE,4485563,4495216,4506981,4521156,4536883,4552997,4575373,4604347,4635833,4672148,4708436,4740595,4772941,4810264,4852888,4897627,4950928,5009664,5062643,5109760,5144095,5173965,5207363,5230587,5246154
"Population, female",SP.POP.TOTL.FE.IN,Eswatini,SWZ,537931,544001,549471,554401,558851,562903,566750,570258,573046,575173,576992,578693,580405,582307,584376,586533,588789,592245,596905,601680,607657,614424,620583,626490,632631
"Population, female",SP.POP.TOTL.FE.IN,Sint Maarten (Dutch part),SXM,15780,15785,15930,16149,16371,16597,16831,17068,17302,17534,17745,18008,18367,18750,19126,19492,19845,20177,20494,20787,21054,21292,21572,21915,22254
"Population, female",SP.POP.TOTL.FE.IN,Seychelles,SYC,39791,39764,40920,40339,40042,40081,40774,40840,41631,41661,42670,41339,41495,42025,42454,43188,43553,43886,44111,44317,44526,44723,53843,53680,54410
"Population, female",SP.POP.TOTL.FE.IN,Syrian Arab Republic,SYR,8236526,8444326,8653941,8865494,9088717,9325063,9734163,10355168,10728493,10895650,11145360,11341388,11288690,10756737,10074560,9666333,9568019,9597669,9785124,10178472,10528436,10818054,11233661,11799042,12331590
"Population, female",SP.POP.TOTL.FE.IN,Turks and Caicos Islands,TCA,9078,9488,9989,10562,11139,11719,12299,12885,13477,14068,14655,15228,15889,16663,17369,18161,19030,19843,20682,21500,22123,22570,22884,23065,23244
"Population, female",SP.POP.TOTL.FE.IN,Chad,TCD,4291050,4434347,4587364,4769995,4982758,5183261,5368922,5553115,5746722,5951454,6156782,6373950,6597895,6833909,7079024,7305228,7535632,7786905,8051467,8313906,8582450,8883575,9196578,9627875,10117765
"Population, female",SP.POP.TOTL.FE.IN,Togo,TGO,2577237,2644923,2711802,2780121,2851141,2924043,3005792,3093219,3181954,3271935,3360731,3451057,3541557,3632263,3724059,3817677,3913401,4010956,4109833,4209914,4311314,4413810,4517484,4622682,4726032
"Population, female",SP.POP.TOTL.FE.IN,Thailand,THA,31785527,32126687,32450848,32767624,33074722,33371934,33660927,33941308,34212346,34475427,34722918,34962671,35206262,35441778,35659906,35856230,36051319,36238464,36384841,36498738,36601089,36686198,36730034,36752428,36772621
"Population, female",SP.POP.TOTL.FE.IN,Tajikistan,TJK,3277109,3336974,3397635,3459761,3524432,3590329,3655565,3722826,3793516,3868042,3947540,4032237,4123891,4221471,4323083,4430347,4540016,4648404,4756694,4865797,4973756,5080941,5186644,5288457,5386930
"Population, female",SP.POP.TOTL.FE.IN,Turkmenistan,TKM,2319589,2368410,2417906,2467565,2517126,2566635,2616452,2667281,2720127,2775776,2834511,2896354,2961174,3028765,3098866,3171155,3245208,3320500,3396409,3472187,3546701,3619307,3688063,3753089,3816376
"Population, female",SP.POP.TOTL.FE.IN,Timor-Leste,TLS,361856,394586,427212,445668,451723,461310,475402,489478,503166,516244,529256,542479,555488,568043,580267,592449,604598,616910,629726,642976,656360,669265,679188,686512,694510
"Population, female",SP.POP.TOTL.FE.IN,Tonga,TON,50806,51131,51440,51744,52056,52368,52673,52980,53263,53484,53700,53902,53959,53882,53763,53618,53453,53568,53944,54269,54564,54769,54891,55007,54962
"Population, female",SP.POP.TOTL.FE.IN,Trinidad and Tobago,TTO,665433,668476,671876,675431,678992,653506,655442,658287,661215,662184,666226,671615,675420,678319,680931,683389,685841,687404,686247,687848,691070,691550,690401,691204,691904
"Population, female",SP.POP.TOTL.FE.IN,Tunisia,TUN,4831165,4888822,4945071,5000358,5052867,5102947,5153958,5207192,5263244,5322796,5385892,5451368,5518743,5590269,5661884,5730463,5798235,5863678,5925699,5985004,6039342,6082035,6122300,6167026,6208686
"Population, female",SP.POP.TOTL.FE.IN,Turkiye,TUR,32545316,32964158,33375969,33777980,34169474,34549484,34919575,34989303,35431846,35904517,36433945,36970426,37459914,37957319,38484424,39012881,39553942,40082878,40641328,41243483,41670659,42082196,42526426,42719404,42833032
"Population, female",SP.POP.TOTL.FE.IN,Tuvalu,TUV,4858,4866,4873,4896,4942,4986,5026,5071,5122,5171,5226,5287,5344,5369,5359,5347,5324,5283,5224,5154,5077,4981,4882,4795,4710
"Population, female",SP.POP.TOTL.FE.IN,Tanzania,TZA,17235727,17712781,18191098,18692353,19220319,19774479,20349097,20937593,21527596,22096302,22690306,23338862,24018871,24744828,25507952,26327523,27200908,28094171,28981818,29860889,30768333,31701548,32646077,33603791,34576910
"Population, female",SP.POP.TOTL.FE.IN,Uganda,UGA,12207750,12581652,12976787,13388571,13791950,14198215,14615077,15045636,15488932,15944629,16414198,16895483,17386164,17885235,18413800,18981075,19614061,20302070,20994867,21710133,22437739,23163441,23862969,24533989,25209966
"Population, female",SP.POP.TOTL.FE.IN,Ukraine,UKR,26455240,26225059,26004582,25815987,25643782,25447598,25293672,25183869,25061737,24958395,24863372,24778048,24713834,24656161,24567807,24462666,24365768,24262827,24138295,24004328,23859257,23654574,21931325,20188500,20262170
"Population, female",SP.POP.TOTL.FE.IN,Uruguay,URY,1679574,1684295,1687265,1689069,1690663,1692630,1695212,1698672,1702685,1707013,1711554,1715858,1720162,1725044,1730380,1735970,1741248,1745432,1748368,1749738,1750465,1749263,1746501,1745071,1744028
"Population, female",SP.POP.TOTL.FE.IN,United States,USA,142032212,143324495,144593070,145774399,147065155,148365003,149742927,151118757,152502206,153796930,155061336,156183737,157260545,158288180,159395036,160520591,161638154,162620296,163450491,164182160,164819803,165116452,166122875,167569583,169230152
"Population, female",SP.POP.TOTL.FE.IN,Uzbekistan,UZB,12330511,12481489,12635692,12790353,12948136,13110535,13280001,13466650,13673491,13892323,14111263,14325622,14540460,14766728,15010753,15267686,15528721,15790068,16061755,16352254,16657925,16979564,17320246,17670093,18018147
"Population, female",SP.POP.TOTL.FE.IN,St. Vincent and the Grenadines,VCT,55380,55319,55215,55084,54904,54682,54438,54172,53897,53616,53321,52999,52697,52431,52169,51926,51659,51348,51022,50691,50472,50257,49946,49658,49380
"Population, female",SP.POP.TOTL.FE.IN,"Venezuela, RB",VEN,12244159,12475441,12708361,12941528,13170511,13397679,13622772,13842272,14053462,14255739,14451897,14646922,14840907,15029199,15209375,15378700,15485243,15396408,15026640,14599335,14360362,14265712,14260990,14312346,14371684
"Population, female",SP.POP.TOTL.FE.IN,British Virgin Islands,VGB,9880,10172,10539,10956,11393,11843,12312,12804,13321,13841,14096,14706,15670,16469,17206,18108,17735,17034,18198,19235,19676,20078,20316,20572,20779
"Population, female",SP.POP.TOTL.FE.IN,Virgin Islands (U.S.),VIR,56805,56793,56745,56710,56652,56614,56544,56510,56544,56568,56552,56486,56387,56278,56175,56024,55805,55557,55279,54962,54811,54830,54818,54775,54690
"Population, female",SP.POP.TOTL.FE.IN,Viet Nam,VNM,39328947,39768451,40207727,40653776,41090414,41508486,42107114,42909041,43748397,44421765,44912426,45410433,45919531,46434808,46971117,47527300,48084841,48636377,49147626,49610246,50061601,50486603,50859448,51201223,51526287
"Population, female",SP.POP.TOTL.FE.IN,Vanuatu,VUT,88959,91440,93957,96497,99080,101708,104397,107183,110108,113150,116043,118787,121621,124549,127549,130601,133712,137056,140599,144129,147696,151286,154916,158611,162312
"Population, female",SP.POP.TOTL.FE.IN,Samoa,WSM,87823,88574,89278,89846,90343,90798,91258,91868,92629,93425,94276,95227,96221,97203,98190,99174,100171,101318,102629,103948,105251,106258,106942,107591,108225
"Population, female",SP.POP.TOTL.FE.IN,Kosovo,XKX,894357,903646,909376,909898,910228,910335,910119,909690,909297,909091,909172,912238,919532,924593,921520,909039,903541,910081,912947,908689,909318,907377,898350,854998,776096
"Population, female",SP.POP.TOTL.FE.IN,"Yemen, Rep.",YEM,9729548,10023178,10320054,10623084,10934846,11273485,11639970,12016807,12402249,12797754,13198893,13601487,14015248,14444586,14891086,15350464,15821476,16308544,16805311,17319592,17830293,18330840,18866431,19440467,20025126
"Population, female",SP.POP.TOTL.FE.IN,South Africa,ZAF,24743649,24956582,25173802,25393002,25614018,25837572,26066628,26308996,26582180,26871093,27159465,27465137,27841809,28275670,28704167,29194266,29479001,29730327,30211847,30695653,31181202,31649230,32072567,32461907,32854235
"Population, female",SP.POP.TOTL.FE.IN,Zambia,ZMB,5175350,5325571,5482817,5646844,5819751,6004061,6201876,6411278,6630737,6857391,7088827,7321935,7558420,7799772,8046415,8297353,8553749,8815589,9081205,9351835,9626158,9900765,10179081,10467717,10764716
"Population, female",SP.POP.TOTL.FE.IN,Zimbabwe,ZWE,6233089,6282984,6346623,6424049,6498530,6567254,6648424,6734847,6818684,6917212,7031527,7160049,7285961,7393960,7491842,7588874,7690502,7797375,7908981,8027926,8156300,8291728,8426339,8559888,8705285
"Population, male",SP.POP.TOTL.MA.IN,Aruba,ABW,43583,43945,44207,44683,45617,46770,47568,47875,48194,48476,48598,48948,49593,50261,50727,51185,51514,51460,51479,51548,51205,50800,50658,50706,50840
"Population, male",SP.POP.TOTL.MA.IN,Afghanistan,AFG,10094645,10179793,10737198,11426685,11851534,12284658,12805479,13056363,13350888,13853158,14272310,14815166,15432887,15974952,16570680,17099520,17541315,18038999,18564622,19119647,19725450,20186456,20475675,20924078,21532540
"Population, male",SP.POP.TOTL.MA.IN,Angola,AGO,7955060,8225203,8509854,8814938,9141912,9486138,9847394,10228480,10627960,11045400,11484638,11945063,12422551,12914239,13409269,13905216,14415388,14938928,15467791,16004756,16539639,17077372,17626416,18181690,18747466
"Population, male",SP.POP.TOTL.MA.IN,Albania,ALB,1508124,1491913,1489449,1486823,1483416,1478462,1471577,1462729,1453666,1445951,1440756,1437771,1435272,1432576,1429621,1425527,1423363,1422175,1418783,1412913,1404528,1390872,1373582,1357630,1341886
"Population, male",SP.POP.TOTL.MA.IN,Andorra,AND,34227,34216,34483,36057,38689,40374,41583,42851,43674,43765,41607,39682,39163,38241,37400,36505,36502,37399,38203,38915,39386,40011,40793,41354,41884
"Population, male",SP.POP.TOTL.MA.IN,United Arab Emirates,ARE,2409485,2568651,2729625,2891978,3054941,3217659,3448897,3852376,4285204,4518680,4582204,4691514,4840773,5017803,5247203,5527154,5793975,5970024,6040456,6094246,6052695,6149382,6458376,6710892,6950545
"Population, male",SP.POP.TOTL.MA.IN,Argentina,ARG,18343798,18547830,18747966,18943790,19139877,19341994,19547820,19750275,19959757,20181322,20404978,20631650,20854403,21075385,21305701,21537702,21752905,21953153,22142786,22307714,22419484,22478115,22527129,22596984,22680713
"Population, male",SP.POP.TOTL.MA.IN,Armenia,ARM,1505674,1493713,1486459,1477635,1468638,1459166,1449250,1439098,1427063,1412894,1398412,1388724,1388000,1388125,1385447,1382219,1377472,1372328,1369034,1368115,1369076,1370352,1374836,1375071,1408477
"Population, male",SP.POP.TOTL.MA.IN,American Samoa,ASM,29168,29227,29196,29122,29018,28890,28743,28590,28419,28231,28057,27886,27684,27440,27163,26861,26532,26180,25810,25421,25170,24888,24430,24001,23602
"Population, male",SP.POP.TOTL.MA.IN,Antigua and Barbuda,ATG,35306,35809,36258,36684,37105,37553,38051,38603,39208,39839,40411,40916,41379,41777,42124,42443,42721,42969,43200,43424,43667,43919,44170,44408,44633
"Population, male",SP.POP.TOTL.MA.IN,Australia,AUS,9444852,9565297,9675755,9789254,9896271,10019929,10159956,10353814,10572156,10798554,10968398,11119680,11313314,11504656,11668306,11826934,12005031,12202290,12387923,12572523,12726843,12744892,12907891,13223705,13498584
"Population, male",SP.POP.TOTL.MA.IN,Austria,AUT,3874612,3894042,3918315,3940967,3968539,3999420,4022015,4036049,4049474,4061388,4072366,4088322,4110714,4139328,4177739,4236391,4292484,4325497,4347840,4368019,4386847,4406456,4449465,4494691,4519007
"Population, male",SP.POP.TOTL.MA.IN,Azerbaijan,AZE,3793539,3830440,3866571,3903101,3945223,3994600,4047790,4102912,4198756,4294399,4352435,4416337,4482635,4548349,4612413,4674067,4737324,4798347,4852143,4900577,4936921,4961161,4966581,4975494,5001274
"Population, male",SP.POP.TOTL.MA.IN,Burundi,BDI,3186803,3267954,3362193,3471560,3605444,3744034,3883501,4032117,4204483,4426023,4641033,4812401,4989576,5174376,5355162,5479352,5575483,5709445,5886059,6084180,6264949,6438864,6616267,6799975,6978594
"Population, male",SP.POP.TOTL.MA.IN,Belgium,BEL,5011966,5030117,5054613,5077084,5099315,5127655,5162632,5202598,5246271,5293207,5347692,5421180,5456715,5483424,5508955,5546695,5579303,5601766,5629590,5663142,5690995,5713093,5756528,5810299,5856543
"Population, male",SP.POP.TOTL.MA.IN,Benin,BEN,3567832,3681640,3798523,3919530,4044950,4179151,4313689,4447216,4587507,4730891,4877876,5028977,5184260,5343394,5507544,5676385,5848391,6022608,6197560,6372298,6546526,6720675,6896459,7074605,7252565
"Population, male",SP.POP.TOTL.MA.IN,Burkina Faso,BFA,5870057,6059631,6258423,6465522,6681034,6903047,7128374,7351309,7571230,7795583,8027268,8269076,8525150,8787755,9056087,9332364,9614040,9897120,10170922,10433333,10693067,10953636,11211359,11468763,11730086
"Population, male",SP.POP.TOTL.MA.IN,Bangladesh,BGD,68477112,69527199,70465423,71345034,72159664,72902576,73574026,74183979,74737613,75243836,75714374,76236811,76826473,77407636,77971658,78528055,79091607,79723871,80431108,81162190,81878880,82572341,83399395,84357711,85343656
"Population, male",SP.POP.TOTL.MA.IN,Bulgaria,BGR,3982113,3900494,3815034,3784300,3754879,3725725,3696739,3669333,3643766,3620656,3597346,3574951,3555090,3483960,3440409,3395430,3350042,3303879,3256565,3208578,3173938,3151113,3129809,3120023,3118451
"Population, male",SP.POP.TOTL.MA.IN,Bahrain,BHR,376640,392159,424988,461123,500330,543026,589672,640782,682850,731626,763640,744580,757998,783298,812848,847287,889896,946410,944796,927089,917338,932714,944896,978986,985627
"Population, male",SP.POP.TOTL.MA.IN,"Bahamas, The",BHS,159881,161677,163377,165143,166958,168756,170685,172780,174802,176774,178700,180440,181988,183430,184802,186028,187079,187983,188788,189495,189876,189918,190243,190909,191597
"Population, male",SP.POP.TOTL.MA.IN,Bosnia and Herzegovina,BIH,1989795,1999874,2004285,1999669,1980965,1958617,1941745,1916526,1883405,1849480,1815435,1780886,1745487,1716448,1694274,1672168,1650649,1630145,1610395,1590487,1568697,1543349,1524174,1514667,1505794
"Population, male",SP.POP.TOTL.MA.IN,Belarus,BLR,4673786,4647012,4613786,4576905,4541339,4505518,4473220,4449406,4431895,4419943,4409392,4397384,4389605,4388786,4393235,4401973,4408990,4406130,4398597,4391413,4372320,4334726,4299910,4277430,4256316
"Population, male",SP.POP.TOTL.MA.IN,Belize,BLZ,121747,125491,129195,132955,136776,140659,144587,148554,152543,156528,160364,164071,167797,171561,175354,179203,183673,188210,191765,194425,196764,198902,202913,207487,210442
"Population, male",SP.POP.TOTL.MA.IN,Bermuda,BMU,30694,30828,30947,31050,31108,31159,31192,31269,31433,31603,31688,31652,31570,31520,31512,31498,31485,31495,31543,31604,31671,31732,31733,31680,31619
"Population, male",SP.POP.TOTL.MA.IN,Bolivia,BOL,4348722,4427863,4504099,4578603,4654692,4732198,4811974,4893397,4975069,5057042,5139321,5221815,5304439,5386941,5469087,5550936,5632455,5713458,5793932,5873939,5940065,5989944,6053750,6135731,6219215
"Population, male",SP.POP.TOTL.MA.IN,Brazil,BRA,86454826,87555739,88614174,89629542,90610756,91571959,92509047,93412519,94272742,95081284,95844360,96587069,97333272,98085091,98839567,99587454,100309738,101001719,101654523,102280732,102844473,103236465,103548935,103913061,104295118
"Population, male",SP.POP.TOTL.MA.IN,Barbados,BRB,126085,126256,126982,127660,128282,128838,129327,129821,130399,130964,131479,131975,132420,132824,133204,133566,133907,134231,134537,134819,135102,135357,135411,135364,135423
"Population, male",SP.POP.TOTL.MA.IN,Brunei Darussalam,BRN,176048,179582,183023,186347,189530,192568,195465,198323,201297,204424,207657,210931,214195,217409,220570,223684,226737,229710,232596,235393,238104,240401,242167,243889,245699
"Population, male",SP.POP.TOTL.MA.IN,Bhutan,BTN,311481,320984,330363,339572,348566,356045,361136,365211,369262,373320,377418,381600,385887,390239,394538,398669,402740,406098,408571,410862,413208,415688,418190,420683,423047
"Population, male",SP.POP.TOTL.MA.IN,Botswana,BWA,822409,840102,856692,872591,888696,905450,923229,942101,962012,982815,1004380,1024694,1042920,1060428,1077545,1094542,1111588,1128743,1145953,1163271,1180817,1199123,1217995,1236969,1256565
"Population, male",SP.POP.TOTL.MA.IN,Central African Republic,CAF,1926591,1969134,2011946,2060297,2105150,2153186,2197584,2240179,2288359,2250532,2208874,2244083,2266988,2282158,2268482,2267967,2309345,2346526,2386430,2411803,2444831,2483247,2456263,2467628,2557962
"Population, male",SP.POP.TOTL.MA.IN,Canada,CAN,15188055,15360826,15532792,15674662,15822784,15975662,16139677,16296084,16472578,16661983,16848382,17016358,17208263,17397233,17575548,17709821,17912345,18132886,18404527,18684549,18893273,18998959,19339314,19905091,20502744
"Population, male",SP.POP.TOTL.MA.IN,Switzerland,CHE,3510334,3532614,3560724,3589358,3616152,3641621,3667017,3704392,3758140,3810007,3853210,3899835,3945368,3995302,4047989,4097673,4147468,4189963,4221838,4253116,4285901,4320579,4357730,4413928,4487921
"Population, male",SP.POP.TOTL.MA.IN,Channel Islands,CHI,71641,72081,72717,73394,74076,74764,75445,76120,76795,77467,78129,78762,79364,79926,80447,80836,81046,81255,81556,81877,82161,82402,82618,82826,83015
"Population, male",SP.POP.TOTL.MA.IN,Chile,CHL,7713694,7802404,7887814,7969843,8050167,8129901,8209190,8289657,8372794,8457837,8543399,8628448,8712256,8796396,8885067,8976465,9085689,9230995,9397629,9549157,9633238,9672367,9717972,9770154,9823449
